Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G31 2QH,Yes,55.861457,-4.21143,261692,665352,NS616653,1/1/1980 12:00:00 AM,,39,11,7,"Alexandra Parade",0.2,"",""
G31 2QJ,Yes,55.861309,-4.216167,261395,665345,NS613653,9/1/1990 12:00:00 AM,,43,24,16,"Duke Street",0.4,"",""
G31 2QL,No,55.861886,-4.217559,261310,665412,NS613654,5/1/1993 12:00:00 AM,12/1/1996 12:00:00 AM,47,,,"Alexandra Parade",0.5,"",""
G31 2QN,No,55.860892,-4.218349,261257,665303,NS612653,6/1/1996 12:00:00 AM,7/1/2000 12:00:00 AM,46,,,"Duke Street",0.4,"",""
G31 2QQ,Yes,55.861772,-4.211895,261664,665388,NS616653,1/1/1980 12:00:00 AM,,40,74,40,"Alexandra Parade",0.2,"",""
G31 2QR,Yes,55.859314,-4.217652,261295,665126,NS612651,1/1/1980 12:00:00 AM,,36,92,43,"Duke Street",0.3,"",""
G31 2QS,Yes,55.858996,-4.217809,261284,665091,NS612650,1/1/1980 12:00:00 AM,,35,86,45,"Duke Street",0.3,"",""
G31 2QT,Yes,55.859555,-4.216739,261353,665151,NS613651,1/1/1980 12:00:00 AM,,37,32,15,"Duke Street",0.3,"",""
G31 2QU,Yes,55.859654,-4.218214,261261,665165,NS612651,1/1/1980 12:00:00 AM,,39,63,37,"Duke Street",0.3,"",""
G31 2QW,No,55.85961,-4.217653,261296,665159,NS612651,10/1/1994 12:00:00 AM,12/1/1996 12:00:00 AM,38,,,"Duke Street",0.3,"",""
G31 2QX,Yes,55.859647,-4.217095,261331,665162,NS613651,1/1/1980 12:00:00 AM,,38,55,30,"Duke Street",0.3,"",""
G31 2QY,Yes,55.85997,-4.218137,261267,665200,NS612652,1/1/1980 12:00:00 AM,,41,70,29,"Duke Street",0.4,"",""
G31 2QZ,Yes,55.859953,-4.217081,261333,665196,NS613651,1/1/1980 12:00:00 AM,,40,59,32,"Duke Street",0.3,"",""
G31 2RA,Yes,55.860121,-4.216755,261354,665214,NS613652,1/1/1980 12:00:00 AM,,41,31,16,"Duke Street",0.3,"",""
